exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
4,ref_non,ref,non,49,троллейбус,Y,Y4,троллейбус,1,1169
4,ref_non,ref,non,57,осьминог,Y,Y4,осьминог,1,1813
4,ref_non,ref,non,56,череп,Y,Y4,череп,1,1635
4,ref_non,ref,non,72,выключатель,Y,Y4,включатель,2,1121
4,ref_non,ref,non,78,метла,Y,Y4,метла,1,786
4,ref_let,ref,let,5,акула,Y,Y4,акула,1,1190
4,ref_let,ref,let,4,официант,Y,Y4,официант,1,1283
4,ref_let,ref,let,16,скалка,Y,Y4,скалка,1,5826
4,ref_let,ref,let,22,парашют,Y,Y4,парашют,1,851
4,ref_let,ref,let,30,телескоп,Y,Y4,телескоп,1,3628
4,ref_let,ref,let,36,жираф,Y,Y4,жираф,1,1242
4,ref_let,ref,let,44,фонтан,Y,Y4,фонтан,1,975
4,ref_let,ref,let,45,кроссворд,Y,Y4,кроссворд,1,1178
4,ref_let,ref,let,54,кактус,Y,Y4,кактус,1,2033
4,ref_let,ref,let,55,стадион,Y,Y4,стадион,1,873
4,ref_let,ref,let,61,кобура,Y,Y4,"не знаю, как это называется",3,
4,ref_let,ref,let,71,мельница,Y,Y4,мельница,1,1384
4,ref_let,ref,let,74,палитра,Y,Y4,палитра,1,1570
4,ref_col,ref,col,8,невеста,Y,Y4,невеста,1,1112
4,ref_col,ref,col,35,шприц,Y,Y4,шприц,1,1261
4,ref_col,ref,col,6,аквариум,Y,Y4,аквариум,1,1934
4,ref_col,ref,col,24,кастрюля,Y,Y4,кастрюля,1,2202
4,ref_col,ref,col,14,иероглиф,Y,Y4,иероглиф,1,1795
4,ref_col,ref,col,19,точилка,Y,Y4,точилка,1,2313
4,ref_col,ref,col,31,черепаха,Y,Y4,черепаха,1,1175
4,ref_col,ref,col,40,бинокль,Y,Y4,бинокль,1,987
4,ref_col,ref,col,58,кепка,Y,Y4,кепка,1,2097
4,ref_col,ref,col,62,прищепка,Y,Y4,прищепка,1,2776
4,ref_col,ref,col,63,трамвай,Y,Y4,трамвай,1,2398
4,ref_col,ref,col,70,микрофон,Y,Y4,микрофон,1,1035
4,ref_col,ref,col,73,камин,Y,Y4,камин,1,1737
4,inf_non,inf,non,1,компас,Y,Y4,компас,1,1354
4,inf_non,inf,non,25,сейф,Y,Y4,сейф,1,1376
4,inf_non,inf,non,2,карета,Y,Y4,карета,1,1862
4,inf_non,inf,non,37,шашлык,Y,Y4,шашлык,1,1295
4,inf_non,inf,non,33,копилка,Y,Y4,копилка,1,2552
4,inf_non,inf,non,38,радуга,Y,Y4,радуга,1,1050
4,inf_non,inf,non,12,шланг,Y,Y4,шланг,1,2788
4,inf_non,inf,non,48,сачок,Y,Y4,,3,
4,inf_non,inf,non,52,перо,Y,Y4,перо,1,1905
4,inf_non,inf,non,60,фотоаппарат,Y,Y4,фотоаппарат,1,1185
4,inf_non,inf,non,65,корсет,Y,Y4,корсет,1,1310
4,inf_non,inf,non,67,пружина,Y,Y4,пружина,1,3984
4,inf_non,inf,non,77,дуршлаг,Y,Y4,"я не помню, но, кажется, дуршлаг",1,
4,inf_let,inf,let,18,слон,Y,Y4,слон,1,1345
